// Site Name:	SWC
// Sensor:	SAT333
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
08/12/2018,05:15:00,30,12.29,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,05:30:00,30,12.34,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,05:45:00,30,12.39,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,06:00:00,30,12.42,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,06:15:00,30,12.43,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,06:30:00,30,12.43,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,06:45:00,30,12.43,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,07:00:00,30,12.43,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,07:15:00,30,12.43,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,07:30:00,30,12.43,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,07:45:00,30,12.42,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,08:00:00,30,12.41,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,08:15:00,30,12.38,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,08:30:00,30,12.35,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,08:45:00,30,12.32,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,09:00:00,30,12.30,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,09:15:00,30,12.26,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,09:30:00,30,12.24,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,09:45:00,30,12.23,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,10:00:00,30,12.22,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,10:15:00,30,12.21,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,10:30:00,30,12.21,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,10:45:00,30,12.19,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,11:00:00,30,12.19,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,11:15:00,30,12.19,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,11:30:00,30,12.19,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,11:45:00,30,12.18,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,12:00:00,30,12.17,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,12:15:00,30,12.16,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,12:30:00,30,12.15,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,12:45:00,30,12.14,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,13:00:00,30,12.13,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,13:15:00,30,12.13,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,13:30:00,30,12.13,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,13:45:00,30,12.14,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,14:00:00,30,12.16,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,14:15:00,30,12.17,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,14:30:00,30,12.19,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,14:45:00,30,12.23,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,15:00:00,30,12.25,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,15:15:00,30,12.37,7.93, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,15:30:00,30,12.47,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,15:45:00,30,12.55,7.95, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,16:00:00,30,12.59,7.96, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,16:15:00,30,12.55,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,16:30:00,30,12.49,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,16:45:00,30,12.40,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,17:00:00,30,12.32,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,17:15:00,30,12.28,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,17:30:00,30,12.24,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,17:45:00,30,12.23,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,18:00:00,30,12.21,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,18:15:00,30,12.22,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,18:30:00,30,12.25,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,18:45:00,30,12.29,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,19:00:00,30,12.33,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,19:15:00,30,12.35,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,19:30:00,30,12.37,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,19:45:00,30,12.40,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,20:00:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,20:15:00,30,12.45,7.88, NaN, NaN,   NaN, NaN,  NaN,3
08/12/2018,20:30:00,30,12.46,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,20:45:00,30,12.50,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,21:00:00,30,12.54,7.96, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,21:15:00,30,12.58,7.96, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,21:30:00,30,12.57,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,21:45:00,30,12.57,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,22:00:00,30,12.58,7.95, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,22:15:00,30,12.57,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,22:30:00,30,12.56,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,22:45:00,30,12.54,7.93, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,23:00:00,30,12.49,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,23:15:00,30,12.46,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,23:30:00,30,12.44,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/12/2018,23:45:00,30,12.43,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,00:00:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,00:15:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,00:30:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,00:45:00,30,12.41,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,01:00:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,01:15:00,30,12.41,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,01:30:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,01:45:00,30,12.41,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,02:00:00,30,12.39,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,02:15:00,30,12.37,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,02:30:00,30,12.33,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,02:45:00,30,12.28,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,03:00:00,30,12.28,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,03:15:00,30,12.25,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,03:30:00,30,12.21,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,03:45:00,30,12.24,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,04:00:00,30,12.28,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,04:15:00,30,12.33,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,04:30:00,30,12.35,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,04:45:00,30,12.38,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,05:00:00,30,12.40,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,05:15:00,30,12.43,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,05:30:00,30,12.47,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,05:45:00,30,12.49,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,06:00:00,30,12.55,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,06:15:00,30,12.62,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,06:30:00,30,12.67,7.93, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,06:45:00,30,12.71,7.95, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,07:00:00,30,12.69,7.95, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,07:15:00,30,12.65,7.94, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,07:30:00,30,12.60,7.93, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,07:45:00,30,12.58,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,08:00:00,30,12.57,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,08:15:00,30,12.56,7.92, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,08:30:00,30,12.54,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,08:45:00,30,12.53,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,09:00:00,30,12.52,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,09:15:00,30,12.52,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,09:30:00,30,12.51,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,09:45:00,30,12.49,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,10:00:00,30,12.47,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,10:15:00,30,12.47,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,10:30:00,30,12.44,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,10:45:00,30,12.33,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,11:00:00,30,12.26,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,11:15:00,30,12.25,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,11:30:00,30,12.21,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,11:45:00,30,12.23,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,12:00:00,30,12.24,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,12:15:00,30,12.26,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,12:30:00,30,12.30,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,12:45:00,30,12.32,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,13:00:00,30,12.36,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,13:15:00,30,12.38,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,13:30:00,30,12.40,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,13:45:00,30,12.41,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,14:00:00,30,12.35,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,14:15:00,30,12.32,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,14:30:00,30,12.31,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,14:45:00,30,12.27,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,15:00:00,30,12.24,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,15:15:00,30,12.18,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,15:30:00,30,12.16,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,15:45:00,30,12.14,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,16:00:00,30,12.14,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,16:15:00,30,12.19,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,16:30:00,30,12.19,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,16:45:00,30,12.19,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,17:00:00,30,12.18,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,17:15:00,30,12.17,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,17:30:00,30,12.17,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,17:45:00,30,12.17,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,18:00:00,30,12.16,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,18:15:00,30,12.16,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,18:30:00,30,12.13,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,18:45:00,30,12.13,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,19:00:00,30,12.13,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,19:15:00,30,12.15,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,19:30:00,30,12.16,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,19:45:00,30,12.23,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,20:00:00,30,12.26,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,20:15:00,30,12.27,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,20:30:00,30,12.26,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,20:45:00,30,12.27,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,21:00:00,30,12.28,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,21:15:00,30,12.31,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,21:30:00,30,12.32,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,21:45:00,30,12.32,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,22:00:00,30,12.33,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,22:15:00,30,12.35,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,22:30:00,30,12.35,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,22:45:00,30,12.36,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,23:00:00,30,12.36,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,23:15:00,30,12.37,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,23:30:00,30,12.38,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/13/2018,23:45:00,30,12.40,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,00:00:00,30,12.40,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,00:15:00,30,12.41,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,00:30:00,30,12.42,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,00:45:00,30,12.43,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,01:00:00,30,12.44,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,01:15:00,30,12.44,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,01:30:00,30,12.43,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,01:45:00,30,12.42,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,02:00:00,30,12.40,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,02:15:00,30,12.35,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,02:30:00,30,12.31,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,02:45:00,30,12.26,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,03:00:00,30,12.22,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,03:15:00,30,12.20,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,03:30:00,30,12.19,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,03:45:00,30,12.23,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,04:00:00,30,12.26,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,04:15:00,30,12.28,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,04:30:00,30,12.30,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,04:45:00,30,12.31,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,05:00:00,30,12.33,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,05:15:00,30,12.34,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,05:30:00,30,12.32,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,05:45:00,30,12.34,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,06:00:00,30,12.37,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,06:15:00,30,12.40,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,06:30:00,30,12.43,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,06:45:00,30,12.45,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,07:00:00,30,12.45,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,07:15:00,30,12.45,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,07:30:00,30,12.47,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,07:45:00,30,12.50,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,08:00:00,30,12.51,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,08:15:00,30,12.53,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,08:30:00,30,12.55,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,08:45:00,30,12.54,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,09:00:00,30,12.56,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,09:15:00,30,12.57,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,09:30:00,30,12.58,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,09:45:00,30,12.59,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,10:00:00,30,12.59,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,10:15:00,30,12.54,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,10:30:00,30,12.50,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,10:45:00,30,12.46,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,11:00:00,30,12.44,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,11:15:00,30,12.43,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,11:30:00,30,12.42,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,11:45:00,30,12.40,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,12:00:00,30,12.39,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,12:15:00,30,12.38,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,12:30:00,30,12.38,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,12:45:00,30,12.38,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,13:00:00,30,12.38,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,13:15:00,30,12.40,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,13:30:00,30,12.43,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,13:45:00,30,12.44,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,14:00:00,30,12.44,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,14:15:00,30,12.43,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,14:30:00,30,12.38,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,14:45:00,30,12.37,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,15:00:00,30,12.35,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,15:15:00,30,12.34,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,15:30:00,30,12.39,7.86, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,15:45:00,30,12.41,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,16:00:00,30,12.45,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,16:15:00,30,12.46,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,16:30:00,30,12.50,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,16:45:00,30,12.52,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,17:00:00,30,12.54,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,17:15:00,30,12.50,7.89, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,17:30:00,30,12.46,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,17:45:00,30,12.42,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,18:00:00,30,12.41,7.84, NaN, NaN,   NaN, NaN,  NaN,3
08/14/2018,18:15:00,30,12.46,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,18:30:00,30,12.52,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,18:45:00,30,12.54,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,19:00:00,30,12.57,7.90, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,19:15:00,30,12.56,7.91, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,19:30:00,30,12.50,7.88, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,19:45:00,30,12.44,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,20:00:00,30,12.37,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,20:15:00,30,12.33,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,20:30:00,30,12.32,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,20:45:00,30,12.32,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,21:00:00,30,12.31,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,21:15:00,30,12.30,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,21:30:00,30,12.29,7.81, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,21:45:00,30,12.27,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,22:00:00,30,12.28,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,22:15:00,30,12.32,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,22:30:00,30,12.39,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,22:45:00,30,12.41,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,23:00:00,30,12.43,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,23:15:00,30,12.44,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,23:30:00,30,12.44,7.85, NaN, NaN,   NaN, NaN,  NaN,1
08/14/2018,23:45:00,30,12.43,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,00:00:00,30,12.42,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,00:15:00,30,12.39,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,00:30:00,30,12.35,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,00:45:00,30,12.30,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,01:00:00,30,12.26,7.84, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,01:15:00,30,12.17,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,01:30:00,30,12.06,7.81, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,01:45:00,30,11.98,7.78, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,02:00:00,30,11.93,7.78, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,02:15:00,30,11.89,7.77, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,02:30:00,30,11.88,7.76, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,02:45:00,30,11.89,7.76, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,03:00:00,30,11.92,7.76, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,03:15:00,30,11.95,7.78, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,03:30:00,30,12.00,7.77, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,03:45:00,30,12.04,7.78, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,04:00:00,30,12.05,7.80, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,04:15:00,30,12.06,7.80, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,04:30:00,30,12.08,7.81, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,04:45:00,30,12.09,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,05:00:00,30,12.11,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,05:15:00,30,12.14,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,05:30:00,30,12.16,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,05:45:00,30,12.21,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,06:00:00,30,12.25,7.82, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,06:15:00,30,12.32,7.83, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,06:30:00,30,12.40,7.87, NaN, NaN,   NaN, NaN,  NaN,1
08/15/2018,06:45:00,30,12.52,7.88, NaN, NaN,   NaN, NaN,  NaN,1
